,company,Overall,Paid Time Off,Ability Telecommute,Flexible Hours,Social Environment,Coworkers,Wellness Initiatives,Mentorship,Maternity Leave,Family Growth Support,Employer Responsiveness,Learning Opportunities,Management Opportunities,Equal Opportunities,Salary Satisfaction,Female Representation in Leadership,Number of Ratings,overall_rating,Career Opportunities,Compensation and Benefits,Culture & Values,Work/Life Balance,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4,Paid Time Off_predicted,Flexible Hours_predicted,Mentorship_predicted,Maternity Leave_predicted,Learning Opportunities_predicted,Management Opportunities_predicted,Salary Satisfaction_predicted,InHerSight_overall,GlassdoorOverall,company_website,logo_image,pto_review,ml_review
0,360Training,1.9,2.2,2.8,3,2.4,2,1.8,1.2,2.5,1.5,1,2,1.8,1.8,1.5,1.4,5,2.5,2.25,2.555555556,2.222222222,2.888888889,2.794177301,-0.756922006,-0.066337348,-0.256282237,0.205549578,2.5963,2.875,1.5016,2.4945,1.9987,2.1437,1.9206,1.9,2.5,https://www.360training.com/careers/,/static/img/360training.jpg,"Salary is on par with other similar positions in this area. Quarterly bonuses are nice. Not too demanding of my time.  I work 40 hours and don't travel.  Flexibility of work from home, sometimes, not always.",
1,3m,3.3,3.7,3,3.2,2.7,3.4,3.7,3,3.8,3.4,3.2,3.2,3.3,3.4,3.4,2.9,89,3.9,4,4.125,4.125,4.25,-0.775168889,-0.550951933,-0.02429667,-0.068834805,-0.173514364,3.8374,3.3429,2.8565,3.9111,3.2311,3.2905,3.3885,3.3,3.9,https://www.3m.com/3M/en_US/careers-us/,/static/img/3m.png,"Extreme amounts of flexibility.  I talk to my manager once every other week and am able to completely make my schedule by myself, meaning I can have 5 home office days where I answer emails in  my pjs, or I can be out in front of 10 different customers every day.  You get to determine how to spend your time base on how you think it will grow your territory.",Collaboration. Come as you are diversity. A celebration of science & great benefits. One of the best cultures I've worked at in my career.
2,AMD,3.6,4,3.6,4,3.3,3.9,3.4,2.7,3.3,4.2,5,3.6,3.6,3.7,3.4,3.3,7,3.8,3.75,3.5,3.625,3.875,0.091596006,-0.524945008,-0.009480302,-0.092794928,-0.250008962,4.005,3.894,2.5577,3.4283,3.329,3.366,3.0418,3.6,3.8,https://www.amd.com/en/corporate/careers,/static/img/amd.png,"Work from home/flexible hours, friendly down to earth coworkers,  opportunities to travel worldwide,  wearing multiple hats, fast paced environment.",Lot's of liberal-minded policies - LGBQ-friendly weirdo-friendly flexible (but long) schedule.
3,AT&T,2.9,3.4,2.1,2.3,2.2,3.2,2.2,2.7,3.2,2.5,2.7,3.1,3.5,3.6,3.2,3.4,627,3.3,3.695121951,4.317073171,3.548780488,3.670731707,-0.006362592,-0.75591051,0.175922608,0.211780967,0.356156465,3.4641,2.6275,2.5241,3.4144,2.9396,3.3154,3.0178,2.9,3.3,https://www.att.jobs/,/static/img/att.jpg,"Good pay, benefits, paid holidays, paid vacation.", AT&T is a great diverse company to work for with wonderful benefits continued educational encouragement growth opportunities great pay with bonuses and excellent future focused vision. AT&T has a long history of over 100 years of high productivity and fosters creativity innovation and community.
4,Accruent,3.2,4.6,4,4,3.9,3.8,3.6,3.2,3.2,3.1,2.9,2.7,2.7,2.6,1.7,1.7,21,3.6,3.49,2.688172043,3.739583333,3.451612903,0.811604754,0.594746767,-0.649308891,-0.052985788,-0.030368578,4.3262,3.8111,2.8162,3.2338,2.6217,2.6802,2.0234,3.2,3.6,https://www.accruent.com/about-us/careers,/static/img/Accruent.jpg,Great Culture. Free food. Unlimited PTO  (USE IT). Now they don't have to pay you for vacation time when you leave.,
5,Adobe,3.7,4.5,3.7,4,3.5,3.5,4,3.2,4.4,4.1,3.4,3.4,3.2,3.4,3.7,2.9,58,4.1,3.888888889,4.333333333,4.333333333,4.444444444,-1.059033632,-0.504411195,-0.049134852,-0.072134168,-0.377157314,4.2419,3.8111,3.0322,4.0771,3.2414,3.2233,3.4206,3.7,4.1,https://www.adobe.com/careers.html,/static/img/Adobe.svg,"Flexibility, good technologies to work with, opportunities, M&A activity, good benefits, entire week of July 4th & Xmas week is paid time off.",Adobe is a truly inspiring place to work. The benefits alone are a show stopper -- above and beyond what any other tech company offers: 6 month paid maternity flexible return to work back from maternity high quality insurance that covers above anything you might want HSA spending for anything not covered reimbursement 1K annually for learning development reimbursement $360 annually for your health & wellness needs -- and so much more.
6,Amazon,3,3.5,2.3,2.5,2.6,3.3,2.1,2.5,3.8,3.3,2.9,3,3.3,3.6,3,3,1269,3.8,4.714285714,4.428571429,4.428571429,2.857142857,-0.828747297,0.05670247,0.701122747,0.944194987,0.706962793,3.5637,2.8294,2.5164,3.9378,3.0794,3.2853,2.9777,3,3.8,https://www.amazon.jobs/en,/static/img/Amazon.png,"Day 1 benefits, 3 days off, paid/vacation/unpaid time off, voluntary time off sometimes of year (optional), overtime pay during peak.",
7,Apple,3.5,3.9,2.5,2.7,3,4,4,2.7,4.3,3.7,3.6,3.3,3.6,3.8,3.2,3.6,631,4,4.125,4.625,4.625,4.375,-1.416627637,-0.523864456,-0.021498095,0.092329903,-0.119694631,3.993,3.0228,2.8905,4.2477,3.3935,3.4944,3.2996,3.5,4,https://www.apple.com/jobs/us/,/static/img/apple.png,"Great Pay and benefits, and time off.",
8,Applied Materials,2.5,2.5,2.8,2.5,2.1,2.8,3.6,1.7,2.9,2.4,3.2,2.5,2.5,2.4,2.2,2.2,14,3.7,2.5,3.152777778,2.347222222,2.138888889,2.305655302,-0.508413034,0.519743559,0.931710406,-0.396582181,2.9213,2.5832,1.815,2.7693,2.5822,2.5342,2.3355,2.5,3.7,http://www.appliedmaterials.com/company/careers/jobs,/static/img/Applied_Materials.png,"Pay, Stability, Work load, Culture, Benefits. Of course, alot of these factors really depends on your team/boss - i've been lucky to land in a spot where both are great.",
9,Arm Holdings,,,,,,,,,,,,,,,,,,4.3,3.8,4.3,4.666666667,4.3,-1.170089681,-0.371278628,-0.078233928,0.104100209,-0.553106481,3.8389,3.3938,2.8464,3.4364,3.1701,3.1306,3.1825,Not rated,4.3,https://www.arm.com/company/careers,/static/img/arm.png,"Great culture, everyone pulling in the same direction (no internal politics). Great benefits (>20 days vacation, incredible health plans, sabbatical every four years). Flexible working, forward looking, great people.",
10,Atlassian,3.4,4,3.7,3.7,4,3,3.3,3,4.5,3,3.3,2.7,3.7,3,3.7,2.7,,4.3,4.222222222,4.111111111,4,4.444444444,-0.975981514,0.611699898,0.735682522,-0.529009992,-0.174914194,4.0545,3.6187,2.9297,4.3661,2.9224,3.4875,3.5382,3.4,4.3,https://www.atlassian.com/company/careers,/static/img/atlassian.png,"Where do I start?  Catered lunches, breakfasts, team game lunches, free health care (family too!),  commuter & wellness fund, over the top parties & holiday events, great pay, work-life balance, etc.",
11,BankVue,3.1,4,3,2,4,3,4,2,4,3,,4,4,2,2,1,,3.8,3.9,4.2,4.1,3.7,-0.444994729,0.638402946,-0.418600683,0.452525657,0.29353569,4.0243,2.4526,2.1799,3.8368,3.735,3.7016,2.4258,3.1,3.8,https://www.kasasa.com/careers,/static/img/BankVue.png,"Free snacks, ""unlimited"" PTO, good benefits, get to work with some great people, a chairman and CEO who actually care about their employees",
12,Bazaarvoice,3.5,4.3,3.6,3.9,3.2,3.9,3.6,2.3,4.1,4.1,2.8,2,4,4,3.2,3.4,16,3.7,3.357142857,3.842857143,3.884057971,3.797101449,0.07245518,0.169314527,0.035892442,-0.044674717,-0.066888358,4.1856,3.7849,2.2432,3.9537,2.2493,3.4773,2.8902,3.5,3.7,https://www.bazaarvoice.com/careers/,/static/img/bazaarvoice.jpg,"Remote, Flexible, Friendly Atmosphere, Retirement Benefits even for Part-Time. ",
13,BigCommerce,3.5,4.2,3.1,2.8,4.4,4.1,4.2,2.4,3.7,3.8,3.3,3,3.2,3.4,3,2.7,9,3.7,3.7,3.9,3.9,3.8,-0.119845416,0.600893397,-0.131854411,0.041271427,0.198738104,4.0669,2.9723,2.3251,3.6314,2.8502,3.2196,2.9371,3.5,3.7,https://www.bigcommerce.com/careers/,/static/img/BigCommerce.png,"Catered lunch once a week, awesome coworkers, free drinks and snacks, 10 hours vacation time accrued per month, extremely reasonably priced benefits.",
14,BioWare,3.8,3.7,3.3,3.7,3.7,3.3,4.3,3,4.3,4,,3.7,3.7,3.7,5,3.3,,3.7,3.604651163,3.534883721,3.875,3.837209302,0.05985466,-0.487833381,-0.091473926,-0.074127504,-0.20673841,3.8285,3.6618,2.7806,3.999,3.3563,3.5584,4.1643,3.8,3.7,http://www.bioware.com/careers/,/static/img/bioware.png,"Good work-life balance. A lot of employees are older, with kids; as a result, the focus is on sustainable work practices rather than a bunch of twenty-somethings competing to see who can work the most hours in a week. Although crunch does occur now and then, the company makes an effort to minimize it. Lots of friendly, intelligent coworkers. Generous time off allowance at Christmas.",
15,Blackbaud,3.2,4.1,3.7,3.2,3.3,4,3.2,2.1,3.4,3,2.7,2.4,3.6,3.6,2.9,2.9,53,3.6,4.444444444,4.888888889,4.777777778,4.888888889,-1.878766656,-0.444731608,-0.281020798,-0.272386271,0.346449775,4.1847,3.5755,2.4755,3.6032,2.8266,3.5461,3.1303,3.2,3.6,https://www.blackbaud.com/company/careers,/static/img/blackbaud.jpg,"Blackbaud provides a great work environment, where new ideas are welcomed, and easy to find people to rally around and support. Bonus and base salary, are highly competitive to comparable careers in larger metropolitan areas. Free beer, wine and food seems to make its way onto the calendar every couple of weeks. Helps reduce work stress as well as build cohesiveness and communication skills between co-workers. 4 weeks paid PTO to start is a nice perk, as well as the ability to roll PTO year over year and gain more PTO through the Volunteer for Vacation program.",
16,Cirrus Logic,3.3,4.4,2.6,3.4,4.9,3.6,4.6,2.9,1.9,2.1,4,4.6,2.9,3.1,3.6,2.3,7,4.18,4.1,4.4,4.2,4.4,-1.095869609,0.313605885,-0.331834166,0.094500378,-0.124844185,4.2446,3.3861,2.8233,2.5982,4.0618,3.0203,3.4578,3.3,4.2,https://www.cirrus.com/careers/,/static/img/cirruslogic.png,"Happy Hours, decent pay, good benefits.",
17,Cisco Systems,3.6,4.1,4.4,4.2,3.3,3.6,3.8,3.3,3.9,3.7,3.4,3.5,3.3,3.4,3.4,3.2,171,4,4.1,4.3,4.6,4.6,-1.331556524,-0.505397618,-0.160856682,-0.204720007,-0.251257967,3.9997,3.8814,3.0814,3.7778,3.3052,3.2857,3.2614,3.6,4,https://jobs.cisco.com/,/static/img/cisco_systems.png,"Flexible work culture, Challenging work, 401k match, paid time off.",
18,Dell,3.6,4.3,4.1,3.8,3.1,3.8,3.8,3.1,3.8,3.8,3.4,3.5,3.4,3.5,3.2,3,122,3.9,3.677777778,3.822222222,3.944444444,4.1,-0.312416533,-0.5101063,-0.054336638,-0.09618716,-0.341260666,4.1568,3.6802,2.9069,3.8112,3.3653,3.2831,3.106,3.6,3.9,https://jobs.dell.com/,/static/img/dell.png,Good benefits. Vacation accrual over ten years equals four weeks.,
19,Dropbox,3.9,4.6,3.1,4.8,4.8,4.2,4.5,2.9,4.4,4,4.4,3.5,3.4,3.2,3.5,2.6,8,4.3,4.375,5,4.75,4.75,-1.995716831,0.581245081,0.713536378,-0.371091611,0.014003452,4.4004,4.4451,2.995,4.407,3.3413,3.4866,3.5836,3.9,4.3,https://www.dropbox.com/jobs,/static/img/dropbox.png,"Benefits and pay are truly excellent. There are generous stipends for transit, wellness, learning and development (books and conferences), and others. Dental, vision, and health are all covered. There is donation matching up to a $1000 per year, unlimited volunteer and paid time off (which, if you're daring enough to request, truly seems unlimited and I have yet to hear of someone's PTO request being declined), and if you're in an office with a Tuck Shop, world-class food served every day. You can gift Dropbox space to friends and family.",Great culture friendly people supportive team fun events good compensation. Opportunity for growth and impact. I have never worked for a company that cares so much for their employees.
20,Ebay,3.4,3.9,2.7,2.9,3.5,3.8,3.8,3.1,4.4,3.8,2.9,2.9,3.4,3.6,3.4,3.4,67,3.7,4.142857143,4.571428571,4.571428571,4.428571429,-1.314018245,-0.60170198,-0.091096292,-0.062790266,0.110499618,3.9276,3.1217,3.041,4.1731,3.0547,3.3774,3.3555,3.4,3.7,https://careers.ebayinc.com/join-our-team/start-your-search/,/static/img/ebay.png,"Great place to work with very good compensation, paid time off, bonus and stock options.",
21,Electronic Arts,3.1,3.5,2.9,2.9,3.5,3.2,3.7,2.4,3.5,3.2,2.9,2.7,3.1,3.3,3,2.6,34,3.7,3.295774648,4.126760563,3.887323944,3.873239437,-0.074182114,-0.322248302,-0.095157125,0.130899492,-0.159669373,3.6868,3.0298,2.4586,3.5156,2.8763,3.2015,3.1404,3.1,3.7,https://www.ea.com/careers,/static/img/ElectronicArts.png,"Great work life balance, mostly hard working and responsive colleagues that care about their work and the company, 5 free games each year then $20 for additional, company shuttle, EA onsite cafe that generally offers yummy food at pretty fair prices, super nice onsite gym, campus is very nice and chill, bonus/401k match, RSUs.",
22,Epicore,2.8,3.4,2.8,3,3.2,3.2,2.6,1.9,2.3,2.1,3.6,2.4,2.6,3.1,2.2,3.2,10,4.1,3.461538462,3.802197802,3.582417582,3.923076923,0.019222087,-0.498708412,0.092521097,0.057974186,-0.562723363,3.6333,3.1785,2.1351,2.8339,2.6053,2.7933,2.6298,2.8,4.1,https://jobs.epicor.com/,/static/img/epicor.png,Days fly by enjoying the challenges of what I am doing. Working with team members is very rewarding. They made me feel right at home during my on boarding and set my expectations correctly for the position I am in. Mentor training was outstanding.,
23,Facebook,4,4.4,3.5,4,4.3,3.8,4.4,3.2,4.5,4.4,3.8,3.8,3.9,4,4.2,3.7,94,4.3,3.92,4.56,3.94,3.36,-0.557313372,0.654684394,1.115841156,0.453377513,0.027464575,4.1668,3.5254,2.791,4.3049,3.6308,3.5824,3.8009,4,4.3,https://www.facebook.com/careers/,/static/img/facebook.png,"The best company culture. Open, focused, friendly and people first. Here, your voice matters, you get to work on things that matter to you and the company. The company invest in you through many ways (many perks, training materials, PTOs, 4 months parental leave, etc. During calibration you can see how everyone puts people to the top of their consideration.",Good salary and bonus structure great fringe benefits - Incredible benefits (health and wellness PTO sick leave parental leave)- Supportive and inclusive work environment w/ focus on representation.
24,Forcepoint,2.7,4.3,4.7,4,3.4,2.9,2.7,2,2.4,2,2.7,1.3,2.7,2.7,2.6,2,7,2.7,2.222222222,2.777777778,2.222222222,2.444444444,2.830918213,-0.722909291,0.152156042,0.227501515,0.164992627,3.6919,3.5001,1.9024,2.5131,1.9297,2.4895,2.4593,2.7,2.7,https://www.forcepoint.com/company/careers,/static/img/forcepoint.png,"Decent benefits - 5 weeks PTO, fully paid maternity leave and paternity leave, lots of company wide events throughout the year, bagels on Friday, some WFH flexibility.",
25,Freescale,2.7,4.4,2.3,3.2,1.2,4,3.8,2.2,3,2.8,5,2.5,1.4,1.6,2.3,2,6,3.4,3.113636364,3.545454545,4.431818182,3.25,0.381667599,0.861407481,-0.82260441,0.494490179,0.348215648,4.1311,2.9093,2.2171,3.126,2.5898,2.1687,2.2293,2.7,3.4,https://www.nxp.com/about/about-nxp/about-nxp/careers-at-nxp:CAREERS,/static/img/freescale.jpg,"Since the company itself is still fairly young, there were lots of opportunities to move up or move into different positions even within my first few months there. Most employees (at least in Content) genuinely seemed to enjoy working there - plus there was free food, beer on tap, ping-pong, and you could show up to the office in sweats.",
