company,InHerSight_overall,GlassdoorOverall,company_website,logo_image
360Training,1.9,2.5,https://www.360training.com/careers/,
Accruent,3.2,3.6,https://www.accruent.com/about-us/careers,
Amazon,3,3.8,https://www.amazon.jobs/en,
Apple,3.5,4,https://www.apple.com/jobs/us/,
Atlassian,3.4,4.3,https://www.atlassian.com/company/careers,
BankVue,3.1,3.8,https://www.kasasa.com/careers,
Bazaarvoice,3.5,3.7,https://www.bazaarvoice.com/careers/,
Blackbaud,3.2,3.6,https://www.blackbaud.com/company/careers,/static/img/blackbaud.jpg
Cisco Systems,3.6,4,https://jobs.cisco.com/,/static/img/cisco_systems.png
Dell,3.6,3.9,https://jobs.dell.com/,/static/img/dell.png
Dropbox,3.9,4.3,https://www.dropbox.com/jobs,/static/img/dropbox.png
Ebay,3.4,3.7,https://careers.ebayinc.com/join-our-team/start-your-search/,/static/img/
Epicore,2.8,4.1,https://jobs.epicor.com/,/static/img/epicor.png
Facebook,4,4.3,https://www.facebook.com/careers/,/static/img/facebook.png
Forcepoint,2.7,2.7,https://www.forcepoint.com/company/careers,/static/img/forcepoint.png
Freescale,2.7,3.4,https://www.nxp.com/about/about-nxp/about-nxp/careers-at-nxp:CAREERS,/static/img/freescale.jpg
GSDM,3.2,3.9,https://www.gsdm.com/jobs/,/static/img/GSD&M.png
Gemalto,2.5,3.4,https://www.gemalto.com/companyinfo/careers,/static/img/Gemalto.png
Global Foundries,2,2.9,https://www.globalfoundries.com/about-us/careers,/static/img/global_foundries.jpg
Google,3.8,4.3,https://careers.google.com/?&src=Online/House%20Ads/BKWS&gclid=EAIaIQobChMIx8GB0uP94gIVELjACh022AYmEAAYASAAEgK-y_D_BwE,/static/img/google.jpg
Hewlett Packard Enterprises,3,4.1,https://www8.hp.com/us/en/jobs/index.html,/static/img/HP.png
HostGator,2.2,3.3,"https://jobs.endurance.com/search-jobs/ALL?orgIds=17854-6226&alp=ALL&alt=0&ascf=[{%22Key%22:%22travel%22,%22Value%22:%22HostGator%22}]&",/static/img/hostgator.png
HotSchedules,3,3.6,https://www.hotschedules.com/careers/,/static/img/hotschedules.jpg
IBM,3.3,3.6,https://careers.ibm.com/,/static/img/ibm.jpg
Indeed,3.6,3.6,https://www.indeed.com/cmp/Indeed,/static/img/indeed.jpg
Instacart,2.6,3.6,https://www.instacartcareers.com/,/static/img/instacart.jpg
Intel,3.5,3.9,https://jobs.intel.com/ListJobs/All,/static/img/intel.png
Invenio Solutions,,2.7,https://www.invenio-solutions.com/careers,/static/img/invenio_solutions.jpg
Khoros,,3.9,https://khoros.com/about/careers,/static/img/khoros.png
Lawnstarter,2,4,https://lawnstarter.workable.com/,/static/img/lawnstarter.png
Luminex,2.8,3.6,https://www.luminexcorp.com/open-positions/,/static/img/luminex.png
Main Street Hub,2.9,3.4,https://www.mainstreethub.com/our-company/,/static/img/mainstreethub.png
Mood Media,3.4,2.6,https://us.moodmedia.com/company/careers/,/static/img/moodmedia.jpg
National Instruments,3.2,3.5,https://www.ni.com/careers/,/static/img/nationalinstruments.gif
Netsync Network Solutions,2.1,3.7,https://www.netsyncnetwork.com/careers/,/static/img/netsync.jpg
Oracle,3,3.4,https://www.oracle.com/corporate/careers/,/static/img/oracle.png
PayPal,3.7,3.8,https://www.paypal.com/us/webapps/mpp/jobs,/static/img/paypal.jpg
Pivot3,2.6,4,https://pivot3.com/careers/,/static/img/Pivot3.png
Procore Technologies,4.4,4.4,https://www.procore.com/jobs,/static/img/procore.jpg
Protect America,,3.9,https://www.protectamerica.com/careers,/static/img/protectamerica.jpg
Q2 Software,,3.7,https://www.q2ebanking.com/careers,/static/img/Q2.png
Rackspace,3.4,3.3,https://jobs.jobvite.com/rackspace/,/static/img/rackspace.png
RetailMeNot,3.5,4.2,https://www.retailmenot.com/corp/careers/,/static/img/retailmenot.png
SailPoint,,4.7,https://www.sailpoint.com/company/careers/,/static/img/sailpoint.jpg
Salesforce,4,3.633333333,https://www.salesforce.com/company/careers/,/static/img/salesforce.png
Signpost,,4.3,https://www.signpost.com/all-jobs/,/static/img/signpost.png
SolarWinds,2.2,3,https://solarwinds.jobs/,/static/img/solarwinds.png
Sparefoot,4.5,4.2,https://about.sparefoot.com/jobs,/static/img/sparefoot.jpg
Spiceworks,3.3,3.8,https://www.spiceworks.com/jobs/,/static/img/spiceworks.png
Stitch Fix,3.7,3.2,https://www.stitchfix.com/careers/jobs,/static/img/stitchfix.png
Tableau software,3.2,3.8,https://careers.tableau.com/listing,/static/img/tableau.png
TeleNetwork,3.5,2.5,https://www.telenetwork.com/,/static/img/telenetwork.png
USAA,3.8,3.6,https://www.usaajobs.com/,/static/img/usaa.png
Uber,3.2,4.2,https://www.uber.com/us/en/careers/,/static/img/uber.jpg
VMware,3.7,4.1,https://careers.vmware.com/,/static/img/vmware.jpg
Volusion,,3.1,https://www.volusion.com/careers,/static/img/volusion.png
Vrbo,3.4,3.6,https://www.homeaway.com/careers,/static/img/vrbo.png
drillinginfo,2.9,3.7,https://info.drillinginfo.com/careers/,/static/img/drillinginfo.png
