company,Overall,Paid Time Off,Ability Telecommute,Flexible Hours,Social Environment,Coworkers,Wellness Initiatives,Mentorship,Maternity Leave,Family Growth Support,Employer Responsiveness,Learning Opportunities,Management Opportunities,Equal Opportunities,Salary Satisfaction,Female Representation in Leadership,Number of Ratings,overall_rating,Career Opportunities,Compensation and Benefits,Culture & Values,Work/Life Balance,Mentorship_predicted,Paid Time Off_predicted,Flexible Hours_predicted,Maternity Leave_predicted,Learning Opportunities_predicted,Salary Satisfaction_predicted,Management Opportunities_predicted,InHerSight_overall,GlassdoorOverall,company_website,logo_image
360Training,1.9,2.2,2.8,3,2.4,2,1.8,1.2,2.5,1.5,1,2,1.8,1.8,1.5,1.4,5,2.5,2.25,2.555555556,2.222222222,2.888888889,1.4114,2.5812,2.9664,2.5734,2.2912,1.9227,2.1109,1.9,2.5,https://www.360training.com/careers/,
Accruent,3.2,4.6,4,4,3.9,3.8,3.6,3.2,3.2,3.1,2.9,2.7,2.7,2.6,1.7,1.7,21,3.6,3.49,2.688172043,3.739583333,3.451612903,2.7749,4.2895,3.6898,3.1204,2.6663,1.8849,2.8291,3.2,3.6,https://www.accruent.com/about-us/careers,
Amazon,3,3.5,2.3,2.5,2.6,3.3,2.1,2.5,3.8,3.3,2.9,3,3.3,3.6,3,3,1269,3.8,4.714285714,4.428571429,4.428571429,2.857142857,2.7185,3.7203,2.7966,3.9486,3.1172,3.1011,3.3588,3,3.8,https://www.amazon.jobs/en,
Apple,3.5,3.9,2.5,2.7,3,4,4,2.7,4.3,3.7,3.6,3.3,3.6,3.8,3.2,3.6,631,4,4.125,4.625,4.625,4.375,2.6156,3.6876,2.8735,3.994,3.0752,3.0833,3.4382,3.5,4,https://www.apple.com/jobs/us/,
Atlassian,3.4,4,3.7,3.7,4,3,3.3,3,4.5,3,3.3,2.7,3.7,3,3.7,2.7,,4.3,4.222222222,4.111111111,4,4.444444444,2.803,4.1666,3.6591,4.3288,2.745,3.3519,3.3024,3.4,4.3,https://www.atlassian.com/company/careers,
BankVue,3.1,4,3,2,4,3,4,2,4,3,,4,4,2,2,1,,3.8,3.9,4.2,4.1,3.7,2.5439,4.23,2.8028,4.037,3.892,2.7788,3.9166,3.1,3.8,https://www.kasasa.com/careers,
Bazaarvoice,3.5,4.3,3.6,3.9,3.2,3.9,3.6,2.3,4.1,4.1,2.8,2,4,4,3.2,3.4,16,3.7,3.357142857,3.842857143,3.884057971,3.797101449,2.3073,4.2365,3.7411,3.9099,2.3145,2.9356,3.6042,3.5,3.7,https://www.bazaarvoice.com/careers/,
Blackbaud,3.2,4.1,3.7,3.2,3.3,4,3.2,2.1,3.4,3,2.7,2.4,3.6,3.6,2.9,2.9,53,3.6,4.444444444,4.888888889,4.777777778,4.888888889,2.4117,4.1321,3.3107,3.675,2.6824,3.0686,3.5229,3.2,3.6,https://www.blackbaud.com/company/careers,/static/img/blackbaud.jpg
Cisco Systems,3.6,4.1,4.4,4.2,3.3,3.6,3.8,3.3,3.9,3.7,3.4,3.5,3.3,3.4,3.4,3.2,171,4,4.1,4.3,4.6,4.6,3.2523,4.1024,3.951,3.9303,3.4707,3.3455,3.3443,3.6,4,https://jobs.cisco.com/,/static/img/cisco_systems.png
Dell,3.6,4.3,4.1,3.8,3.1,3.8,3.8,3.1,3.8,3.8,3.4,3.5,3.4,3.5,3.2,3,122,3.9,3.677777778,3.822222222,3.944444444,4.1,3.1426,4.2541,3.8253,3.9032,3.4815,3.2936,3.4117,3.6,3.9,https://jobs.dell.com/,/static/img/dell.png
Dropbox,3.9,4.6,3.1,4.8,4.8,4.2,4.5,2.9,4.4,4,4.4,3.5,3.4,3.2,3.5,2.6,8,4.3,4.375,5,4.75,4.75,2.6459,4.4006,4.2057,4.119,3.1788,3.1595,3.2551,3.9,4.3,https://www.dropbox.com/jobs,/static/img/dropbox.png
Ebay,3.4,3.9,2.7,2.9,3.5,3.8,3.8,3.1,4.4,3.8,2.9,2.9,3.4,3.6,3.4,3.4,67,3.7,4.142857143,4.571428571,4.571428571,4.428571429,3.0294,3.957,3.1037,4.2178,3.0318,3.3223,3.4206,3.4,3.7,https://careers.ebayinc.com/join-our-team/start-your-search/,/static/img/
