company,Overall,Paid Time Off,Ability Telecommute,Flexible Hours,Social Environment,Coworkers,Wellness Initiatives,Mentorship,Maternity Leave,Family Growth Support,Employer Responsiveness,Learning Opportunities,Management Opportunities,Equal Opportunities,Salary Satisfaction,Female Representation in Leadership,Number of Ratings,overall_rating,Career Opportunities,Compensation and Benefits,Culture & Values,Work/Life Balance,Paid Time Off_predicted,Ability Telecommute_predicted,Mentorship_predicted,Maternity Leave_predicted,Learning Opportunities_predicted,Management Opportunities_predicted,Salary Satisfaction_predicted,InHerSight_overall,GlassdoorOverall,company_website,logo_image,Paid Time Off_review,Ability Telecommute_review,Mentorship_review,Maternity Leave_review,Learning Opportunities_review,Management Opportunities_review,Salary Satisfaction_review
360Training,1.9,2.2,2.8,3,2.4,2,1.8,1.2,2.5,1.5,1,2,1.8,1.8,1.5,1.4,5,2.5,2.25,2.555555556,2.222222222,2.888888889,2.7484,3.0704,1.5851,2.551,2.1307,2.2018,2.019,1.9,2.5,https://www.360training.com/careers/,/static/img/360training.jpg,,,,,,,
3M,3.3,3.7,3,3.2,2.7,3.4,3.7,3,3.8,3.4,3.2,3.2,3.3,3.4,3.4,2.9,89,3.9,4,4.125,4.125,4.25,3.7766,3.0826,2.8101,3.8369,3.184,3.3035,3.2829,3.3,3.9,https://www.3m.com/3M/en_US/careers-us/,/static/img/3m.png,,,,,,,
AMD,3.6,4,3.6,4,3.3,3.9,3.4,2.7,3.3,4.2,5,3.6,3.6,3.7,3.4,3.3,7,3.8,3.75,3.5,3.625,3.875,3.9539,3.313,2.6668,3.3942,3.3918,3.3439,3.1882,3.6,3.8,https://www.amd.com/en/corporate/careers,/static/img/amd.png,,,,,,,
AT&T,2.9,3.4,2.1,2.3,2.2,3.2,2.2,2.7,3.2,2.5,2.7,3.1,3.5,3.6,3.2,3.4,627,3.3,3.695121951,4.317073171,3.548780488,3.670731707,3.5333,2.2864,2.5375,3.4624,2.9482,3.3385,3.1779,2.9,3.3,https://www.att.jobs/,/static/img/att.jpg,,,,,,,
Accruent,3.2,4.6,4,4,3.9,3.8,3.6,3.2,3.2,3.1,2.9,2.7,2.7,2.6,1.7,1.7,21,3.6,3.49,2.688172043,3.739583333,3.451612903,4.3443,3.6715,2.7785,3.2713,2.6173,2.7857,1.9166,3.2,3.6,https://www.accruent.com/about-us/careers,/static/img/Accruent.jpg,,,,,,,
Adobe,3.7,4.5,3.7,4,3.5,3.5,4,3.2,4.4,4.1,3.4,3.4,3.2,3.4,3.7,2.9,58,4.1,3.888888889,4.333333333,4.333333333,4.444444444,4.2589,3.4091,3.0028,4.2239,3.3315,3.2652,3.7558,3.7,4.1,https://www.adobe.com/careers.html,/static/img/Adobe.svg,,,,,,,
Amazon,3,3.5,2.3,2.5,2.6,3.3,2.1,2.5,3.8,3.3,2.9,3,3.3,3.6,3,3,1269,3.8,4.714285714,4.428571429,4.428571429,2.857142857,3.6003,2.5734,2.5639,3.9272,3.1597,3.3521,3.0299,3,3.8,https://www.amazon.jobs/en,/static/img/Amazon.png,,,,,,,
Apple,3.5,3.9,2.5,2.7,3,4,4,2.7,4.3,3.7,3.6,3.3,3.6,3.8,3.2,3.6,631,4,4.125,4.625,4.625,4.375,3.8367,2.7429,2.7644,4.1928,3.236,3.4552,3.1827,3.5,4,https://www.apple.com/jobs/us/,/static/img/apple.png,,,,,,,
Applied Materials,2.5,2.5,2.8,2.5,2.1,2.8,3.6,1.7,2.9,2.4,3.2,2.5,2.5,2.4,2.2,2.2,14,3.7,2.5,3.152777778,2.347222222,2.138888889,2.8586,2.6586,1.6699,2.6822,2.5501,2.4481,2.2246,2.5,3.7,http://www.appliedmaterials.com/company/careers/jobs,/static/img/Applied_Materials.png,,,,,,,
Arm Holdings,,,,,,,,,,,,,,,,,,4.3,3.8,4.3,4.666666667,4.3,4.1353,3.3178,2.7189,3.2226,3.0448,2.8611,3.0529,Not Rated,4.3,https://www.arm.com/company/careers,/static/img/arm.png,,,,,,,
Atlassian,3.4,4,3.7,3.7,4,3,3.3,3,4.5,3,3.3,2.7,3.7,3,3.7,2.7,,4.3,4.222222222,4.111111111,4,4.444444444,4.0763,3.5141,2.832,4.3002,2.8963,3.5544,3.4608,3.4,4.3,https://www.atlassian.com/company/careers,/static/img/atlassian.png,,,,,,,
BankVue,3.1,4,3,2,4,3,4,2,4,3,,4,4,2,2,1,,3.8,3.9,4.2,4.1,3.7,3.9829,2.8689,2.2637,4.0476,3.6104,3.7788,2.492,3.1,3.8,https://www.kasasa.com/careers,/static/img/BankVue.png,,,,,,,
Bazaarvoice,3.5,4.3,3.6,3.9,3.2,3.9,3.6,2.3,4.1,4.1,2.8,2,4,4,3.2,3.4,16,3.7,3.357142857,3.842857143,3.884057971,3.797101449,4.226,3.496,2.4509,3.8933,2.5059,3.6752,2.957,3.5,3.7,https://www.bazaarvoice.com/careers/,/static/img/bazaarvoice.jpg,,,,,,,
